CIDm00003393	CIDs00003393	ATC	N05CD01
CIDm00030667	CIDs00030667	ATC	N07BC04
CIDm00441332	CIDs05281075	ATC	G02AD04
CIDm00003750	CIDs00060837	ATC	L01XX19
CIDm00003275	CIDs00003275	ATC	C01DX07
CIDm00005355	CIDs00688272	ATC	N05AL07
CIDm44152182	CIDs44152182	ATC	B06AC03
CIDm00003932	CIDs00003932	ATC	N06BX09
CIDm00002562	CIDs00002562	ATC	R05DB05
CIDm00072054	CIDs00444030	ATC	G04BD10
CIDm00005748	CIDs00005748	ATC	A03AB03
CIDm00156418	CIDs00156418	ATC	H05BX01
CIDm00123631	CIDs00123631	ATC	L01XE02
CIDm00000702	CIDs00000702	ATC	D08AX08
CIDm00000702	CIDs00000702	ATC	V03AB16
CIDm00000702	CIDs00000702	ATC	V03AZ01
CIDm00005193	CIDs00005193	ATC	N05CA06
CIDm00002658	CIDs05479529	ATC	J01DC02
CIDm00002658	CIDs05479529	ATC	S01AA27
CIDm00017477	CIDs00017477	ATC	V08AC03
CIDm00003066	CIDs00010531	ATC	N02CA01
CIDm00004913	CIDs00004913	ATC	C01BA02
CIDm00016230	CIDs00016230	ATC	C03DB01
CIDm00003675	CIDs00003675	ATC	N06AF03
CIDm00010413	CIDs00010413	ATC	N01AX11
CIDm00010413	CIDs00010413	ATC	N07XX04
CIDm00000723	CIDs00444972	ATC	D05AX01
CIDm00005402	CIDs01549007	ATC	D01AE15
CIDm00005402	CIDs01549007	ATC	D01BA02
CIDm00004753	CIDs00004753	ATC	N03AX07
CIDm03081884	CIDs03081884	ATC	L03AX13
CIDm00004775	CIDs00004775	ATC	A16AX03
CIDm23663989	CIDs23663989	ATC	M01AX23
CIDm00002803	CIDs00002803	ATC	C02AC01
CIDm00002803	CIDs00002803	ATC	N02CX02
CIDm00002803	CIDs00002803	ATC	S01EA04
CIDm00062705	CIDs00062705	ATC	A01AB05
CIDm00062705	CIDs00062705	ATC	D01AE05
CIDm00001065	CIDs00005768	ATC	C01BA01
CIDm00005342	CIDs00005342	ATC	M04AB02
CIDm00104865	CIDs00104865	ATC	C02KX01
CIDm00014652	CIDs00014652	ATC	A02BX10
CIDm00065979	CIDs00065979	ATC	R01AA15
CIDm00000823	CIDs00439285	ATC	N07AX02
CIDm06450800	CIDs06450800	ATC	P01BF01
CIDm00002826	CIDs00446220	ATC	N01BC01
CIDm00002826	CIDs00446220	ATC	R02AD03
CIDm00002826	CIDs00446220	ATC	S01HA01
CIDm00002826	CIDs00446220	ATC	S02DA02
CIDm09870652	CIDs09870652	ATC	C09CA10
CIDm00005533	CIDs00005533	ATC	N06AX05
CIDm16129620	CIDs16129620	ATC	H01AC04
CIDm16129620	CIDs16129620	ATC	V04CD03
CIDm00002249	CIDs00175540	ATC	C07AB11
CIDm00050942	CIDs00050942	ATC	R03DA11
CIDm00004476	CIDs00004476	ATC	C10AD01
CIDm00071815	CIDs00071815	ATC	P01AB07
CIDm00003340	CIDs00003340	ATC	C01CA19
CIDm00002226	CIDs00068682	ATC	J01GB12
CIDm00060936	CIDs00060936	ATC	M05BA05
CIDm00004051	CIDs00004051	ATC	M01AC06
CIDm09832423	CIDs09832423	ATC	C10BA02
CIDm00010112	CIDs00010112	ATC	A02AC01
CIDm00010112	CIDs00010112	ATC	A12AA04
CIDm25077993	CIDs25077993	ATC	L02AE05
CIDm00065978	CIDs09571044	ATC	A07AX04
CIDm00071682	CIDs00071682	ATC	N06BA08
CIDm00002763	CIDs00002763	ATC	C10AB08
CIDm00036273	CIDs00036273	ATC	J01CA11
CIDm00002726	CIDs00002726	ATC	N05AA01
CIDm00005668	CIDs00015376	ATC	C04AX07
CIDm00000253	CIDs00171548	ATC	A11HA05
CIDm06918182	CIDs06918182	ATC	M05BX03
CIDm05381226	CIDs05381226	ATC	J04AB02
CIDm00208908	CIDs00208908	ATC	L01XE07
CIDm00039214	CIDs00039214	ATC	L01AD06
CIDm00004043	CIDs00247839	ATC	S01BA08
CIDm00011192	CIDs00011192	ATC	A16AX05
CIDm54686350	CIDs54686350	ATC	N02BA03
CIDm00002733	CIDs00002733	ATC	M03BB03
CIDm00000187	CIDs00000187	ATC	S01EB09
CIDm00002548	CIDs01548943	ATC	M02AB01
CIDm00002548	CIDs01548943	ATC	N01BX04
CIDm16129629	CIDs16134395	ATC	J01XX09
CIDm00157688	CIDs10629256	ATC	L01CA05
CIDm00003015	CIDs05284537	ATC	G03HA01
CIDm00010101	CIDs00010101	ATC	N02AB01
CIDm05353894	CIDs05353894	ATC	V03AB04
CIDm00065589	CIDs00065589	ATC	N06AA03
CIDm00002978	CIDs00016078	ATC	A04AD10
